title,artist,spectrogram_file,target_file,comprehensive_mood,timestamp
Pardon Me (Lil Yachty feat. Future  slow down,"Lil Yachty, Future, Mike WiLL Made-It","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_slow_down_matrix.npy","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_slow_down_target.npy","mood_aggressive, mood_party",2025-03-24T20:42:38.669421
Pardon Me (Lil Yachty feat. Future  normalized,"Lil Yachty, Future, Mike WiLL Made-It","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_normalize_matrix.npy","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_normalize_target.npy","mood_aggressive, mood_party",2025-03-24T20:42:33.560649
PlaqueBoyMax normalized,Fivio Foreign,PlaqueBoyMax_Fivio_Foreign_normalize_matrix.npy,PlaqueBoyMax_Fivio_Foreign_normalize_target.npy,"danceable, mood_party",2025-03-24T20:36:39.641778
TWENTY NIGHTS speed up,Nobu Woods,TWENTY_NIGHTS_Nobu_Woods_speed_up_matrix.npy,TWENTY_NIGHTS_Nobu_Woods_speed_up_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:45:56.642349
ss slow down,Ken Carson,ss_Ken_Carson_slow_down_matrix.npy,ss_Ken_Carson_slow_down_target.npy,"mood_aggressive, mood_party",2025-03-24T20:36:05.087390
WAIT FOR U (feat. Drake  slow down,"Future, Drake, Tems","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_slow_down_matrix.npy","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_slow_down_target.npy","mood_relaxed, mood_sad",2025-03-24T20:38:42.893700
Eyeless pitch up,Slipknot,Eyeless_Slipknot_pitch_up_matrix.npy,Eyeless_Slipknot_pitch_up_target.npy,mood_aggressive,2025-03-24T20:41:13.152076
R.I.P. pitch down,Playboi Carti,R.I.P._Playboi_Carti_pitch_down_matrix.npy,R.I.P._Playboi_Carti_pitch_down_target.npy,"mood_aggressive, mood_party",2025-03-24T20:37:25.868788
No One Noticed pitch up,The Marías,No_One_Noticed_The_Marías_pitch_up_matrix.npy,No_One_Noticed_The_Marías_pitch_up_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:46:47.237033
ss speed up,Ken Carson,ss_Ken_Carson_speed_up_matrix.npy,ss_Ken_Carson_speed_up_target.npy,"mood_aggressive, mood_party",2025-03-24T20:36:03.929199
trademark usa pitch up,Baby Keem,trademark_usa_Baby_Keem_pitch_up_matrix.npy,trademark_usa_Baby_Keem_pitch_up_target.npy,mood_party,2025-03-24T20:44:49.889699
"Happy - From ""Despicable Me 2"" pitch down",Pharrell Williams,Happy_-_From_Despicable_Me_2_Pharrell_Williams_pitch_down_matrix.npy,Happy_-_From_Despicable_Me_2_Pharrell_Williams_pitch_down_target.npy,"danceable, mood_happy",2025-03-24T20:35:12.824582
No One Noticed normalized,The Marías,No_One_Noticed_The_Marías_normalize_matrix.npy,No_One_Noticed_The_Marías_normalize_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:46:45.588679
Pardon Me (Lil Yachty feat. Future  pitch down,"Lil Yachty, Future, Mike WiLL Made-It","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_pitch_down_matrix.npy","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_pitch_down_target.npy","mood_aggressive, mood_party",2025-03-24T20:42:36.450294
Hello speed up,Adele,Hello_Adele_speed_up_matrix.npy,Hello_Adele_speed_up_target.npy,"mood_acoustic, mood_sad",2025-03-24T20:35:43.054547
WAIT FOR U (feat. Drake  speed up,"Future, Drake, Tems","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_speed_up_matrix.npy","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_speed_up_target.npy","mood_relaxed, mood_sad",2025-03-24T20:38:41.896913
R.I.P. normalized,Playboi Carti,R.I.P._Playboi_Carti_normalize_matrix.npy,R.I.P._Playboi_Carti_normalize_target.npy,"mood_aggressive, mood_party",2025-03-24T20:37:22.991399
No One Noticed speed up,The Marías,No_One_Noticed_The_Marías_speed_up_matrix.npy,No_One_Noticed_The_Marías_speed_up_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:46:49.113081
Outfit (with 21 Savage) pitch up,"Lil Baby, 21 Savage","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_pitch_up_matrix.npy","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_pitch_up_target.npy",mood_aggressive,2025-03-24T20:42:53.420919
No One Noticed pitch down,The Marías,No_One_Noticed_The_Marías_pitch_down_matrix.npy,No_One_Noticed_The_Marías_pitch_down_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:46:48.258667
Pardon Me (Lil Yachty feat. Future  speed up,"Lil Yachty, Future, Mike WiLL Made-It","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_speed_up_matrix.npy","Pardon_Me_(Lil_Yachty_feat._Future__Lil_Yachty,_Future,_Mike_WiLL_Made-It_speed_up_target.npy","mood_aggressive, mood_party",2025-03-24T20:42:37.352792
WAIT FOR U (feat. Drake  pitch down,"Future, Drake, Tems","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_pitch_down_matrix.npy","WAIT_FOR_U_(feat._Drake__Future,_Drake,_Tems_pitch_down_target.npy","mood_relaxed, mood_sad",2025-03-24T20:38:40.812780
Hello pitch up,Adele,Hello_Adele_pitch_up_matrix.npy,Hello_Adele_pitch_up_target.npy,"mood_acoustic, mood_sad",2025-03-24T20:35:41.193907
Outfit (with 21 Savage) normalized,"Lil Baby, 21 Savage","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_normalize_matrix.npy","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_normalize_target.npy",mood_aggressive,2025-03-24T20:42:51.600596
No One Noticed slow down,The Marías,No_One_Noticed_The_Marías_slow_down_matrix.npy,No_One_Noticed_The_Marías_slow_down_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:46:50.083801
Eyeless normalized,Slipknot,Eyeless_Slipknot_normalize_matrix.npy,Eyeless_Slipknot_normalize_target.npy,mood_aggressive,2025-03-24T20:41:11.368830
TWENTY NIGHTS normalized,Nobu Woods,TWENTY_NIGHTS_Nobu_Woods_normalize_matrix.npy,TWENTY_NIGHTS_Nobu_Woods_normalize_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:45:52.933794
TWENTY NIGHTS pitch up,Nobu Woods,TWENTY_NIGHTS_Nobu_Woods_pitch_up_matrix.npy,TWENTY_NIGHTS_Nobu_Woods_pitch_up_target.npy,"mood_relaxed, mood_sad",2025-03-24T20:45:54.629474
ss pitch down,Ken Carson,ss_Ken_Carson_pitch_down_matrix.npy,ss_Ken_Carson_pitch_down_target.npy,"mood_aggressive, mood_party",2025-03-24T20:36:02.978767
trademark usa pitch down,Baby Keem,trademark_usa_Baby_Keem_pitch_down_matrix.npy,trademark_usa_Baby_Keem_pitch_down_target.npy,"mood_aggressive, mood_party",2025-03-24T20:44:50.952783
"Happy - From ""Despicable Me 2"" pitch up",Pharrell Williams,Happy_-_From_Despicable_Me_2_Pharrell_Williams_pitch_up_matrix.npy,Happy_-_From_Despicable_Me_2_Pharrell_Williams_pitch_up_target.npy,mood_happy,2025-03-24T20:35:12.268617
ss normalized,Ken Carson,ss_Ken_Carson_normalize_matrix.npy,ss_Ken_Carson_normalize_target.npy,"mood_aggressive, mood_party",2025-03-24T20:36:00.045750
Outfit (with 21 Savage) speed up,"Lil Baby, 21 Savage","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_speed_up_matrix.npy","Outfit_(with_21_Savage)_Lil_Baby,_21_Savage_speed_up_target.npy",mood_aggressive,2025-03-24T20:42:55.255576
take time pitch down,Isaiah kaleo,take_time_Isaiah_kaleo_pitch_down_matrix.npy,take_time_Isaiah_kaleo_pitch_down_target.npy,"danceable, mood_party",2025-03-24T20:39:33.925883
